Chain Lightning,Warner Bros. Pictures,United States of America
Abbott and Costello in the Foreign Legion,Universal Pictures,United States of America
Fancy Pants,Paramount,United States of America
The Woman on Pier 13,RKO Radio Pictures,United States of America
Summer Stock,Metro-Goldwyn-Mayer,United States of America
Radar Secret Service,Lippert Pictures,United States of America
Bee at the Beach,Walt Disney Productions,United States of America
The Capture,Showtime Properties,United States of America
Bunker Hill Bunny,Warner Bros. Television,United States of America
Ambush,Metro-Goldwyn-Mayer,United States of America
Gambling House,RKO Radio Pictures,United States of America
Shakedown,Universal International Pictures,United States of America
A Lady Without Passport,Metro-Goldwyn-Mayer,United States of America
Jerry and the Lion,BBDD Productions,Spain
Dog Gone South,Warner Bros. Pictures,United States of America
Double Confession,Harry Reynolds Productions,United States of America
Double Confession,Associated British-Pathé,United Kingdom
What's Up Doc?,Warner Bros. Pictures,United States of America
Trailer Horn,Walt Disney Productions,United States of America
Trailer Horn,RKO Radio Pictures,United States of America
The Nevadan,Columbia Pictures,United States of America
The White Tower,RKO Radio Pictures,United States of America
Hook  Lion and Sinker,BBDD Productions,Spain
The Underworld Story,United Artists,United States of America
The Big Lift,20th Century Fox,United States of America
Un Chant D'Amour,Argos Films,France
Copper Canyon,Paramount,United States of America
Homeless Hare,Warner Bros. Pictures,United States of America
Kon-Tiki,BBDD Productions,Spain
Convicted,Columbia Pictures,United States of America
Sierra,Universal Pictures,United States of America
Captain Carey  U.S.A.,Paramount,United States of America
Bright Leaf,Warner Bros. Pictures,United States of America
Side Street,Metro-Goldwyn-Mayer,United States of America
Kim,Metro-Goldwyn-Mayer,United States of America
Stars in My Crown,Metro-Goldwyn-Mayer,United States of America
Mystery Street,Metro-Goldwyn-Mayer,United States of America
Three Came Home,20th Century Fox,United States of America
At War with the Army,Fred F. Finklehoffe Productions,United States of America
Mister 880,20th Century Fox,United States of America
The Ducksters,BBDD Productions,Spain
Woman in Hiding,Universal International Pictures,United States of America
The Toast of New Orleans,Metro-Goldwyn-Mayer,United States of America
Captive Girl,The Katzman Corporation,United States of America
The Sleeping City,BBDD Productions,Spain
Story of a Love Affair,Villani Film,United States of America
Quicksand,Samuel H. Stiefel Productions,United States of America
Texas Tom,BBDD Productions,Spain
Cage of Gold,J. Arthur Rank Organisation,United States of America
Cage of Gold,Ealing Studios,United States of America
Ma and Pa Kettle Go to Town,Universal International Pictures,United States of America
Tototarzan,BBDD Productions,Spain
The Framed Cat,Metro-Goldwyn-Mayer,United States of America
Last Holiday,Watergate,United Kingdom
Last Holiday,Associated British Picture Corporation,United Kingdom
Tom and Jerry in the Hollywood Bowl,Metro-Goldwyn-Mayer,United States of America
The Clouded Yellow,Carillon Films,United States of America
The Sundowners,Le May-Templeton Pictures,United States of America
Branded,Paramount,United States of America
Fortunes of Captain Blood,Columbia Pictures,United States of America
Between Midnight and Dawn,Columbia Pictures,United States of America
Appointment with Danger,Paramount,United States of America
Highly Dangerous,Two Cities Films,United States of America
The Jackpot,20th Century Fox,United States of America
Crisis,Loew's,United States of America
Crisis,Metro-Goldwyn-Mayer,United States of America
Three Secrets,United States Pictures,United States of America
Golden Salamander,Pinewood Films,United States of America
Guilty Bystander,Edmund L. Dorfmann Productions Inc.,United States of America
Guilty Bystander,Laurel Films,United States of America
Guilty Bystander,New York Film Associates Ltd.,United States of America
Experiment Alcatraz,Crystal Productions,United States of America
Dial 1119,Metro-Goldwyn-Mayer,United States of America
Breakthrough,Warner Bros. Pictures,United States of America
Odette,Wilcox-Neagle Productions,United States of America
The King of the Neighborhood,AS Films S.A.,United States of America
Alice in Wonderland,Walt Disney Animation Studios,United States of America
Alice in Wonderland,Walt Disney Productions,United States of America
The Day the Earth Stood Still,20th Century Fox,United States of America
Ace in the Hole,Paramount,United States of America
The Thing from Another World,Winchester Pictures Corporation,United States of America
The Thing from Another World,RKO Radio Pictures,United States of America
Strangers on a Train,Warner Bros. Pictures,United States of America
The African Queen,United Artists,United States of America
The African Queen,Independent Film Distributors,United States of America
The African Queen,Romulus Films,United States of America
A Streetcar Named Desire,Charles K. Feldman Group,United States of America
A Streetcar Named Desire,Warner Bros. Pictures,United States of America
A Place in the Sun,Paramount,United States of America
Quo Vadis,Metro-Goldwyn-Mayer,United States of America
An American in Paris,Loew's,United States of America
An American in Paris,Metro-Goldwyn-Mayer,United States of America
A Christmas Carol,Renown Pictures Corporation,United States of America
A Christmas Carol,George Minter Productions,United Kingdom
The Lavender Hill Mob,Ealing Studios,United States of America
The Desert Fox: The Story of Rommel,20th Century Fox,United States of America
Othello,Les Films Marceau,United States of America
Othello,Mercury Productions,United States of America
The Man in the White Suit,The Rank Organisation,United States of America
The Man in the White Suit,Ealing Studios,United States of America
Miracle in Milan,Produzioni De Sica,United States of America
Miracle in Milan,Ente Nazionale Industrie Cinematografiche (ENIC),United States of America
Summer Interlude,Svensk Filmindustri,Sweden
Early Summer,Shochiku Co.  Ltd.,Japan
Pandora and the Flying Dutchman,Romulus Films,United States of America
Pandora and the Flying Dutchman,Dorkay Productions,United States of America
Bellissima,BBDD Productions,Spain
Diary of a Country Priest,Union Générale Cinématographique (UGC),France
The Red Badge of Courage,Metro-Goldwyn-Mayer,United States of America
On Dangerous Ground,RKO Radio Pictures,United States of America
Rabbit Fire,Warner Bros. Pictures,United States of America
Detective Story,Paramount,United States of America
Cause for Alarm!,Metro-Goldwyn-Mayer,United States of America
David and Bathsheba,20th Century Fox,United States of America
When Worlds Collide,Paramount,United States of America
Halls of Montezuma,20th Century Fox,United States of America
Show Boat,Metro-Goldwyn-Mayer,United States of America
Captain Horatio Hornblower R.N.,Warner Bros. Pictures,United States of America
The Idiot,Shochiku Co.  Ltd.,Japan
Cops and Robbers,Lux Film,Italy
Cops and Robbers,De Laurentiis,United States of America
Cops and Robbers,Golden Film,United States of America
Day of the Fight,BBDD Productions,Spain
Rawhide,20th Century Fox,United States of America
The Racket,RKO Radio Pictures,United States of America
Operation Pacific,Warner Bros. Pictures,United States of America
Flying Padre,RKO Radio Pictures,United States of America
Distant Drums,United States Pictures,United States of America
Distant Drums,Warner Bros. Pictures,United States of America
Across the Wide Missouri,Metro-Goldwyn-Mayer,United States of America
The River,Oriental International Films,United States of America
Westward the Women,Metro-Goldwyn-Mayer,United States of America
Comin' Round the Mountain,Universal Pictures,United States of America
Bride of the Gorilla,Jack Broder Productions Inc.,United States of America
Miss Julie,Sandrews,Sweden
No Highway in the Sky,20th Century Fox,United States of America
Vengeance Valley,Metro-Goldwyn-Mayer,United States of America
Bud Abbott Lou Costello Meet the Invisible Man,Universal Pictures,United States of America
Drip-Along Daffy,Warner Bros. Pictures,United States of America
The Prowler,Horizon Pictures,United States of America
The Prowler,United Artists,United States of America
The Man from Planet X,Mid Century Film Productions Ltd.,United States of America
Roadblock,RKO Radio Pictures,United States of America
Man of Straw,DEFA,Germany
Fourteen Hours,20th Century Fox,United States of America
Ten Tall Men,Halburt Productions,United States of America
Ten Tall Men,Columbia Pictures,United States of America
Ten Tall Men,Norma Productions,United States of America
Jerry and the Goldfish,BBDD Productions,Spain
The Enforcer,United States Pictures,United States of America
Fixed Bayonets!,20th Century Fox,United States of America
The Browning Version,Javelin Films,United States of America
The Tall Target,Metro-Goldwyn-Mayer,United States of America
The Strip,Metro-Goldwyn-Mayer,United States of America
The Steel Helmet,Deputy Corporation,United States of America
Lost Continent,Sigmund Neufeld Productions,United States of America
Storm Warning,Warner Bros. Pictures,United States of America
Miss Oyu,Daiei Motion Picture Co.  Ltd.,Japan
Royal Wedding,Metro-Goldwyn-Mayer,United States of America
Go for Broke!,Metro-Goldwyn-Mayer,United States of America
Tomorrow Is Another Day,Warner Bros. Pictures,United States of America
Only the Valiant,William Cagney Productions,United States of America
Only the Valiant,Warner Bros. Pictures,United States of America
The Man with My Face,Edward F. Gardner Productions,United States of America
The Red Inn,Memnon Films,United States of America
Decision Before Dawn,Bavaria Film,United States of America
Decision Before Dawn,20th Century Fox,United States of America
The Mob,Columbia Pictures,United States of America
Mr. Peek-a-Boo,Silver Films,United States of America
Mr. Peek-a-Boo,Cité Films,United States of America
Mr. Peek-a-Boo,Fides,United States of America
Superman and the Mole-Men,Lippert Pictures,United States of America
Jerry's Cousin,BBDD Productions,Spain
My Forbidden Past,RKO Radio Pictures,United States of America
Pickup,Hugo Haas Productions,United States of America
Test Pilot Donald,BBDD Productions,Spain
Awaara,All India Film Corporation,United States of America
Bunny Hugged,Warner Bros. Pictures,United States of America
His Kind of Woman,RKO Radio Pictures,United States of America
As Young as You Feel,20th Century Fox,United States of America
Teresa,Metro-Goldwyn-Mayer,United States of America
Hollywood Story,Universal International Pictures,United States of America
Mystery Junction,Merton Park Studios,United States of America
The Painted Hills,Metro-Goldwyn-Mayer,United States of America
Lovelorn Leghorn,Warner Bros. Pictures,United States of America
Susana,sexual desire,United States of America
Susana,Internacional Cinematográfica,United States of America
Susana,Temptation,United States of America
The Redhead and the Cowboy,Paramount,United States of America
Cry Danger,RKO Radio Pictures,United States of America
Bright Victory,Universal International Pictures,United States of America
The Tales of Hoffmann,Vega Film Productions,United States of America
The Tales of Hoffmann,The Archers,United States of America
Cat Napping,Metro-Goldwyn-Mayer,United States of America
My Favorite Spy,Paramount,United States of America
Two of a Kind,Columbia Pictures,United States of America
Flying Leathernecks,RKO Radio Pictures,United States of America
Plutopia,Walt Disney Productions,United States of America
Casanova Cat,BBDD Productions,Spain
Father's Little Dividend,Metro-Goldwyn-Mayer,United States of America
Pool of London,J. Arthur Rank Organisation,United States of America
Pool of London,Ealing Studios,United States of America
Putty Tat Trouble,Warner Bros. Pictures,United States of America
M,Superior Pictures,United States of America
Scent-imental Romeo,Warner Bros. Pictures,United States of America
The People Against O'Hara,Metro-Goldwyn-Mayer,United States of America
Dr. Knock,BBDD Productions,Spain
Symphony in Slang,Metro-Goldwyn-Mayer,United States of America
Sleepy-Time Tom,Metro-Goldwyn-Mayer,United States of America
Adventures of Captain Fabian,Silver Films,United States of America
Adventures of Captain Fabian,Les Films Corona,France
Der Verlorene,BBDD Productions,Spain
Utopia,BBDD Productions,Spain
Five,BBDD Productions,Spain
The Man with a Cloak,Metro-Goldwyn-Mayer,United States of America
Hotel Sahara,BBDD Productions,Spain
Dude Duck,Walt Disney Productions,United States of America
Slicked-up Pup,BBDD Productions,Spain
The Lemon Drop Kid,Paramount,United States of America
Starlift,Warner Bros. Pictures,United States of America
Surcos,Atenea Films,United States of America
It's a Big Country: An American Anthology,Metro-Goldwyn-Mayer,United States of America
Lightning Strikes Twice,Warner Bros. Pictures,United States of America
Payment on Demand,Gwenaud Productions,United States of America
Nit-Witty Kitty,Metro-Goldwyn-Mayer,United States of America
The Secret of Convict Lake,20th Century Fox,United States of America
Apache Drums,Universal International Pictures,United States of America
Repast,Toho Company  Ltd.,Japan
Canned Feud,Warner Bros. Pictures,United States of America
I Was a Communist for the F.B.I.,Warner Bros. Pictures,United States of America
Sirocco,Santana Pictures Corporation,United States of America
Sirocco,Columbia Pictures,United States of America
Bikini Baby,London Film Productions,United States of America
Toto and the King of Rome,BBDD Productions,Spain
Out of Scale,BBDD Productions,Spain
Juliette  or Key of Dreams,Films Sacha Gordine,United States of America
People Will Talk,20th Century Fox,United States of America
Three Steps North,BBDD Productions,Spain
One Summer of Happiness,Nordisk Tonefilm,United States of America
Daughter of Deceit,Ultramar Films,United States of America
Kind Lady,Metro-Goldwyn-Mayer,United States of America
